U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13019.9 
50.0V;23.6V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.0 
50.0V;23.6V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.1 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.2 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.3 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.4 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.5 
50.0V;23.6V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.6 
50.0V;23.6V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.7 
50.0V;23.6V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.8 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13020.9 
50.0V;23.6V;0.150A;0.149A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.0 
50.0V;23.6V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.1 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.2 
50.0V;23.7V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.3 
50.0V;23.7V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.4 
50.0V;23.7V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.5 
50.0V;23.7V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.6 
50.0V;23.7V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.7 
50.0V;23.7V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.8 
50.0V;23.7V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13021.9 
50.0V;23.6V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.0 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.1 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.2 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.3 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.4 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.5 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.6 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.7 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.8 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13022.9 
